mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
2006,2006-06-15,England,Trinidad and Tobago,1,0.755,1,2-0,1
2006,2006-06-15,Sweden,Paraguay,1,0.464,1,1-0,1
2006,2006-06-16,Netherlands,Ivory Coast,1,0.592,1,2-1,1
2006,2006-06-16,Mexico,Angola,1,0.682,X,0-0,0
2006,2006-06-16,Argentina,Serbia,1,0.561,1,6-0,1
2006,2006-06-17,Czech Republic,Ghana,1,0.735,2,0-2,0
2006,2006-06-17,Italy,United States,1,0.458,X,1-1,0
2006,2006-06-17,Portugal,Iran,1,0.477,1,2-0,1
2006,2006-06-18,Brazil,Australia,1,0.533,1,2-0,1
2006,2006-06-18,France,South Korea,1,0.527,X,1-1,0
2006,2006-06-18,Japan,Croatia,2,0.398,X,0-0,0
2006,2006-06-19,Saudi Arabia,Ukraine,2,0.461,2,0-4,1
2006,2006-06-19,Spain,Tunisia,1,0.625,1,3-1,1
2006,2006-06-19,Togo,Switzerland,2,0.624,2,0-2,1
2006,2006-06-20,Sweden,England,2,0.508,X,2-2,0
2006,2006-06-20,Paraguay,Trinidad and Tobago,1,0.467,1,2-0,1
2006,2006-06-20,Germany,Ecuador,1,0.661,1,3-0,1
2006,2006-06-20,Costa Rica,Poland,2,0.451,2,1-2,1
2006,2006-06-21,Iran,Angola,1,0.546,X,1-1,0
2006,2006-06-21,Ivory Coast,Serbia,1,0.384,1,3-2,1
2006,2006-06-21,Netherlands,Argentina,1,0.386,X,0-0,0
2006,2006-06-21,Portugal,Mexico,1,0.439,1,2-1,1
2006,2006-06-22,Croatia,Australia,2,0.487,X,2-2,0
2006,2006-06-22,Czech Republic,Italy,2,0.371,2,0-2,1
2006,2006-06-22,Ghana,United States,2,0.506,1,2-1,0
2006,2006-06-22,Japan,Brazil,2,0.711,2,1-4,1
2006,2006-06-23,Ukraine,Tunisia,1,0.409,1,1-0,1
2006,2006-06-23,Switzerland,South Korea,2,0.377,1,2-0,0
2006,2006-06-23,Saudi Arabia,Spain,2,0.755,2,0-1,1
2006,2006-06-23,Togo,France,2,0.82,2,0-2,1
2006,2006-06-24,Argentina,Mexico,1,0.495,1,2-1,1
2006,2006-06-24,Germany,Sweden,1,0.579,1,2-0,1
2006,2006-06-25,England,Ecuador,1,0.608,1,1-0,1
2006,2006-06-25,Portugal,Netherlands,2,0.388,1,1-0,0
2006,2006-06-26,Switzerland,Ukraine,1,0.402,X,0-0,0
2006,2006-06-26,Italy,Australia,1,0.427,1,1-0,1
2006,2006-06-27,Brazil,Ghana,1,0.753,1,3-0,1
2006,2006-06-27,Spain,France,1,0.419,2,1-3,0
2006,2006-06-30,Germany,Argentina,1,0.446,X,1-1,0
2006,2006-06-30,Italy,Ukraine,1,0.544,1,3-0,1
2006,2006-07-01,Brazil,France,1,0.491,2,0-1,0
2006,2006-07-01,England,Portugal,2,0.369,X,0-0,0
2006,2006-07-04,Germany,Italy,1,0.428,2,0-2,0
2006,2006-07-05,Portugal,France,2,0.408,2,0-1,1
2006,2006-07-08,Germany,Portugal,1,0.417,1,3-1,1
2006,2006-07-09,Italy,France,2,0.38,X,1-1,0
2010,2010-06-16,South Africa,Uruguay,2,0.459,2,0-3,1
2010,2010-06-17,Argentina,South Korea,1,0.45,1,4-1,1
2010,2010-06-17,France,Mexico,2,0.408,2,0-2,1
2010,2010-06-17,Greece,Nigeria,2,0.464,1,2-1,0
2010,2010-06-18,England,Algeria,1,0.783,X,0-0,0
2010,2010-06-18,Germany,Serbia,1,0.597,2,0-1,0
2010,2010-06-18,Slovenia,United States,2,0.54,X,2-2,0
2010,2010-06-19,Netherlands,Japan,1,0.659,1,1-0,1
2010,2010-06-19,Ghana,Australia,2,0.437,X,1-1,0
2010,2010-06-19,Cameroon,Denmark,2,0.393,2,1-2,1
2010,2010-06-20,Brazil,Ivory Coast,1,0.719,1,3-1,1
2010,2010-06-20,Italy,New Zealand,1,0.667,X,1-1,0
2010,2010-06-20,Slovakia,Paraguay,2,0.496,2,0-2,1
