team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Qatar,Tahsin Jamshid,Midfield,20,0,0,0,0,,,baja
Qatar,Mohamed Al-Mannai,Midfield,22,0,0,0,0,,,baja
Qatar,Hassan Al Haydos,Offence,35,0,0,0,0,,,baja
Qatar,Ahmed Alaa Eldin,Offence,33,0,0,0,0,,,baja
Jordan,Yazeed Abu Layla,Goalkeeper,33,0,0,0,0,,,baja
Jordan,Abdallah Al Fakhouri,Goalkeeper,26,0,0,0,0,,,baja
Jordan,Noureddin Bani Ateyah,Goalkeeper,33,0,0,0,0,,,baja
Jordan,Ehsan Haddad,Defence,32,0,0,0,0,,,baja
Jordan,Saleem Obaid,Defence,34,0,0,0,0,,,baja
Jordan,Yazan Al Arab,Defence,30,0,0,0,0,,,baja
Jordan,Mohammad Abualnadi,Defence,25,0,0,0,0,,,baja
Jordan,Abdallah Naseeb,Defence,32,0,0,0,0,,,baja
Jordan,Saed Al Rosan,Defence,29,0,0,0,0,,,baja
Jordan,Husam Abu Dahab,Defence,26,0,0,0,0,,,baja
Jordan,Anas Badawi,Defence,28,0,0,0,0,,,baja
Jordan,Nizar Al Rashdan,Midfield,27,0,0,0,0,,,baja
Jordan,Rajaei Ayed,Midfield,32,0,0,0,0,,,baja
Jordan,Noor Al Rawabdeh,Midfield,29,0,0,0,0,,,baja
Jordan,Mohammad Abu Hasheesh,Midfield,31,0,0,0,0,,,baja
Jordan,Ibrahim Saadeh,Midfield,26,0,0,0,0,,,baja
Jordan,Mohammad Al-Dawoud,Midfield,33,0,0,0,0,,,baja
Jordan,Amer Jamous,Midfield,23,0,0,0,0,,,baja
Jordan,Musa Al Taamari,Offence,29,0,0,0,0,,,baja
Jordan,Mahmoud Al Mardi,Offence,32,0,0,0,0,,,baja
Jordan,Mohannad Abu Taha,Offence,23,0,0,0,0,,,baja
Jordan,Ibrahim Sabra,Offence,20,0,0,0,0,,,baja
Jordan,Odeh Fakhoury,Offence,20,0,0,0,0,,,baja
Jordan,Ali Azaizeh,Offence,22,0,0,0,0,,,baja
Iraq,Jalal Hassan,Goalkeeper,35,0,0,0,0,,,baja
Iraq,Fahad Talib,Goalkeeper,31,0,0,0,0,,,baja
Iraq,Ahmed Basil,Goalkeeper,29,0,0,0,0,,,baja
Iraq,Merchas Doski,Defence,26,0,0,0,0,,,baja
Iraq,Mustafa Saadoun,Defence,25,0,0,0,0,,,baja
Iraq,Ahmed Yahya,Defence,30,0,0,0,0,,,baja
Iraq,Frans Putros,Defence,32,0,0,0,0,,,baja
Iraq,Manaf Younis,Defence,29,0,0,0,0,,,baja
Iraq,Akam Hashem,Defence,27,0,0,0,0,,,baja
Iraq,Amir Al Ammari,Midfield,28,0,0,0,0,,,baja
Iraq,Kevin Yakob,Midfield,25,0,0,0,0,,,baja
Iraq,Aimar Sher,Midfield,23,0,0,0,0,,,baja
Iraq,Ahmed Qasem,Midfield,22,0,0,0,0,,,baja
Iraq,Zaid Ismail,Midfield,24,0,0,0,0,,,baja
Iraq,Marko Farji,Offence,22,0,0,0,0,,,baja
Iraq,Ali Jassim El-Aibi,Offence,22,0,0,0,0,,,baja
Iraq,Ali Yousif,Offence,30,0,0,0,0,,,baja
Uzbekistan,Abduvakhid Nematov,Goalkeeper,25,0,0,0,0,,,baja
Uzbekistan,Botir Ergashev,Goalkeeper,31,0,0,0,0,,,baja
Uzbekistan,Utkir Yusupov,Goalkeeper,35,0,0,0,0,,,baja
Uzbekistan,Umar Eshmurodov,Defence,33,0,0,0,0,,,baja
Uzbekistan,Abdukodir Khusanov,Defence,22,0,0,0,0,,,baja
Uzbekistan,Jakhongir O'rozov,Defence,22,0,0,0,0,,,baja
Uzbekistan,Farrukh Sayfiyev,Defence,35,0,0,0,0,,,baja
Uzbekistan,Khodjiakbar Alijonov,Defence,29,0,0,0,0,,,baja
Uzbekistan,Sherzod Nasrullayev,Defence,27,0,0,0,0,,,baja
Uzbekistan,Abdulla Abdullayev,Defence,28,0,0,0,0,,,baja
Uzbekistan,Bekhruz Karimov,Defence,18,0,0,0,0,,,baja
Uzbekistan,Avazbek Ulmasaliev,Defence,26,0,0,0,0,,,baja
Uzbekistan,Dostonbek Xamdamov,Midfield,29,0,0,0,0,,,baja
Uzbekistan,Akmal Mozgovoy,Midfield,26,0,0,0,0,,,baja
Uzbekistan,Azizjon Ganiev,Midfield,28,0,0,0,0,,,baja
Uzbekistan,Sherzod Esanov,Midfield,23,0,0,0,0,,,baja
Uzbekistan,Ruslanbek Jiyanov,Offence,25,0,0,0,0,,,baja
Uzbekistan,Azizbek Amonov,Offence,28,0,0,0,0,,,baja
Netherlands,Mark Flekken,Goalkeeper,33,0,0,0,0,,,baja
Netherlands,Bart Verbruggen,Goalkeeper,23,0,0,0,0,,,baja
Netherlands,Robin Roefs,Goalkeeper,23,0,0,0,0,,,baja
Netherlands,Jurrien Timber,Defence,25,0,0,0,0,,,baja
Netherlands,Mickey van de Ven,Defence,25,0,0,0,0,,,baja
Netherlands,Jorrel Hato,Defence,20,0,0,0,0,,,baja
Netherlands,Ryan Gravenberch,Midfield,24,0,0,0,0,,,baja
Netherlands,Justin Kluivert,Offence,27,0,0,0,0,,,baja
Norway,Ørjan Nyland,Goalkeeper,35,0,0,0,0,,,baja
Norway,Egil Selvik,Goalkeeper,28,0,0,0,0,,,baja
Norway,Sander Tangvik,Goalkeeper,23,0,0,0,0,,,baja
Norway,Torbjørn Heggem,Defence,27,0,0,0,0,,,baja
Norway,Fredrik Bjørkan,Defence,27,0,0,0,0,,,baja
Norway,Marcus Pedersen,Defence,25,0,0,0,0,,,baja
Norway,Henrik Falchener,Defence,23,0,0,0,0,,,baja
Norway,Sondre Langås,Defence,25,0,0,0,0,,,baja
Norway,David Wolfe,Defence,24,0,0,0,0,,,baja
Norway,Morten Thorsby,Midfield,30,0,0,0,0,,,baja
Norway,Patrick Berg,Midfield,28,0,0,0,0,,,baja
Norway,Oscar Bobb,Midfield,22,0,0,0,0,,,baja
Norway,Jens Hauge,Offence,26,0,0,0,0,,,baja
Norway,Andreas Schjelderup,Offence,22,0,0,0,0,,,baja
Scotland,Angus Gunn,Goalkeeper,30,0,0,0,0,,,baja
Scotland,Craig Gordon,Goalkeeper,43,0,0,0,0,,,baja
Scotland,Liam Kelly,Goalkeeper,30,0,0,0,0,,,baja
Scotland,Dominic Hyam,Defence,30,0,0,0,0,,,baja
Scotland,Aaron Hickey,Defence,24,0,0,0,0,,,baja
Scotland,Ben Doak,Midfield,20,0,0,0,0,,,baja
Scotland,Findlay Curtis,Midfield,,0,0,0,0,,,baja
Scotland,Tyler Fletcher,Midfield,19,0,0,0,0,,,baja
Scotland,George Hirst,Offence,27,0,0,0,0,,,baja
Scotland,Ross Stewart,Offence,29,0,0,0,0,,,baja
Curaçao,Trevor Doornbusch,Goalkeeper,26,0,0,0,0,,,baja
Curaçao,Eloy Room,Goalkeeper,37,0,0,0,0,,,baja
Curaçao,Tyrick Bodak,Goalkeeper,24,0,0,0,0,,,baja
Curaçao,Joshua Brenet,Defence,32,0,0,0,0,,,baja
Curaçao,Armando Obispo,Defence,27,0,0,0,0,,,baja
Curaçao,Sheral Floranus,Defence,27,0,0,0,0,,,baja
Curaçao,Riechedly Bazoer,Defence,29,0,0,0,0,,,baja
Curaçao,Shurandy Sambo,Defence,24,0,0,0,0,,,baja
Curaçao,Deveron Fonville,Defence,23,0,0,0,0,,,baja
Curaçao,Godfried Roemeratoe,Midfield,26,0,0,0,0,,,baja
Curaçao,Jürgen Locadia,Offence,32,0,0,0,0,,,baja
