team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
Austria,Philipp Lienhart,Defence,29,3,2,0,0,2023,2024,baja
Colombia,Jefferson Lerma,Midfield,31,3,2,0,0,2020,2024,baja
Canada,Jonathan Osorio,Midfield,33,3,0,0,0,2021,2023,alta
Canada,Stephen Eustáquio,Midfield,29,3,0,0,0,2021,2021,baja
Canada,Jacob Shaffelburg,Offence,26,3,2,0,0,2023,2024,baja
Haiti,Danley Jean Jacques,Midfield,26,3,2,0,0,2023,2025,baja
Iran,Hossein Kanaanizadegan,Defence,32,3,2,0,0,2019,2024,baja
Bosnia-Herzegovina,Haris Tabaković,Offence,32,3,3,0,0,2025,2026,baja
Panama,Fidel Escobar,Defence,31,3,1,0,0,2016,2025,baja
Panama,Aníbal Godoy,Midfield,36,3,0,0,0,2021,2022,alta
Cape Verde Islands,Stopira,Defence,38,3,1,0,0,2021,2025,alta
Congo DR,Gaël Kakuta,Midfield,35,3,2,0,1,2021,2025,media
Ivory Coast,Evann Guessand,Offence,24,3,3,0,0,2025,2025,baja
Ivory Coast,Simon Adingra,Offence,24,3,2,0,0,2023,2025,baja
Qatar,Karim Boudiaf,Midfield,35,3,0,0,0,2015,2019,alta
Qatar,Yusuf Abdurisag,Midfield,26,3,0,0,0,2019,2023,baja
Iraq,Ibrahim Bayesh,Midfield,26,3,2,0,0,2019,2025,baja
Iraq,Ali Al-Hamadi,Offence,24,3,2,0,0,2023,2026,baja
Netherlands,Nathan Aké,Defence,31,3,0,0,0,2019,2023,baja
Netherlands,Noa Lang,Midfield,27,3,1,0,0,2022,2025,baja
Netherlands,Teun Koopmeiners,Midfield,28,3,1,0,0,2022,2024,baja
Norway,Martin Ødegaard,Midfield,27,3,1,0,0,2019,2025,baja
Norway,Kristian Thorstvedt,Midfield,27,3,0,0,0,2021,2021,baja
Scotland,Kenny McLean,Midfield,34,3,1,0,0,2019,2025,media
Scotland,Lawrence Shankland,Offence,30,3,1,0,0,2019,2025,baja
Uruguay,Mathías Olivera,Defence,28,2,1,0,0,2023,2024,baja
Uruguay,Agustín Canobbio,Offence,27,2,1,1,0,2023,2026,baja
Germany,Antonio Rüdiger,Defence,33,2,0,0,0,2017,2021,alta
Spain,Aymeric Laporte,Defence,32,2,1,0,0,2021,2024,baja
Spain,Rodri,Midfield,30,2,1,0,0,2020,2024,baja
Spain,Álex Baena,Midfield,24,2,1,0,0,2023,2024,baja
Paraguay,Gustavo Gómez,Defence,33,2,0,0,0,2013,2021,alta
Ghana,Iñaki Williams,Offence,32,2,1,0,0,2023,2025,baja
Ghana,Ernest Nuamah,Offence,22,2,2,0,0,2024,2025,baja
Brazil,Bruno Guimarães,Midfield,28,2,1,0,0,2022,2025,baja
Brazil,Luiz Henrique,Offence,25,2,2,0,0,2024,2024,baja
Portugal,Rúben Dias,Defence,29,2,0,0,0,2020,2020,baja
Portugal,Nuno Mendes,Defence,24,2,2,1,0,2025,2026,baja
Portugal,Gonçalo Inácio,Defence,24,2,0,0,0,2023,2023,baja
Japan,Yukinari Sugawara,Defence,25,2,1,0,0,2023,2024,baja
Japan,Ko Itakura,Defence,29,2,1,0,0,2021,2024,baja
Japan,Wataru Endō,Midfield,33,2,1,0,0,2019,2024,media
Mexico,Julián Quiñones,Offence,29,2,2,2,0,2026,2026,baja
Mexico,Roberto Alvarado,Offence,27,2,0,0,0,2019,2023,baja
Mexico,Santiago Giménez,Offence,25,2,0,0,0,2023,2023,baja
England,Anthony Gordon,Midfield,25,2,2,0,0,2024,2025,baja
United States,Antonee Robinson,Defence,28,2,0,0,0,2021,2022,baja
United States,Miles Robinson,Defence,29,2,0,0,0,2021,2021,baja
United States,Chris Richards,Defence,26,2,2,0,0,2025,2025,baja
United States,Haji Wright,Offence,28,2,1,0,0,2022,2025,baja
France,Dayot Upamecano,Defence,27,2,0,0,0,2020,2023,baja
France,Jean-Philippe Mateta,Offence,28,2,2,0,0,2025,2025,baja
South Africa,Thapelo Maseko,Midfield,22,2,2,1,0,2024,2026,baja
Algeria,Aïssa Mandi,Defence,34,2,1,0,0,2021,2025,media
Algeria,Nabil Bentaleb,Midfield,31,2,0,0,0,2015,2016,baja
Algeria,Ramiz Zerrouki,Midfield,28,2,0,0,0,2021,2023,baja
Algeria,Ibrahim Maza,Midfield,20,2,2,0,0,2025,2025,baja
Algeria,Amine Gouiri,Offence,26,2,2,1,0,2025,2026,baja
Australia,Connor Metcalfe,Midfield,26,2,2,1,0,2025,2026,baja
New Zealand,Tommy Smith,Defence,36,2,0,0,0,2012,2013,alta
New Zealand,Finn Surman,Defence,22,2,2,1,0,2024,2026,baja
New Zealand,Tyler Bindon,Defence,21,2,2,0,0,2024,2025,baja
