league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Algeria,Adil Boulbina,Algeria,FW,23-056,1. Al Duhail SC,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Amine Gouiri,Algeria,FW,26-131,1. Marseille,2000,2,2,148,1.6,1,0,1,1,0,0,0,0,0.61,0.0,0.61,0.61,0.61
INT-World Cup,2026,Algeria,Anis Hadj Moussa,Algeria,MF,24-136,1. Feyenoord,2002,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Aïssa Mandi,Algeria,DF,34-248,1. Lille,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Fares Chaïbi,Algeria,MF,23-211,1. Frankfurt,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Hicham Boudaoui,Algeria,MF,26-277,1. Nice,1999,2,2,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Houssem Aouar,Algeria,MF,27-362,1. Al-Ittihad,1998,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ibrahim Maza,Algeria,MF,20-215,1. Leverkusen,2005,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Jaouen Hadjam,Algeria,DF,23-093,1. Young Boys,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Luca Zidane,Algeria,GK,28-045,2. Granada,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Mohamed Amoura,Algeria,"FW,MF",26-049,1. Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nabil Bentaleb,Algeria,MF,31-215,1. Lille,1994,2,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Nadhir Benbouali,Algeria,FW,26-071,1. Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0
INT-World Cup,2026,Algeria,Rafik Belghali,Algeria,DF,24-020,1. Hellas Verona,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ramiz Zerrouki,Algeria,MF,28-032,1. Twente,1998,2,1,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Ramy Bensebaini,Algeria,DF,31-072,1. Dortmund,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Rayan Aït-Nouri,Algeria,DF,25-021,1. Manchester City,2001,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Algeria,Riyad Mahrez,Algeria,MF,35-126,1. Al-Ahli,1991,2,1,102,1.1,0,1,1,0,0,0,0,0,0.0,0.88,0.88,0.0,0.88
INT-World Cup,2026,Algeria,Zineddine Belaïd,Algeria,DF,27-099,1. JS Kabylie,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Alexis Mac Allister,Argentina,MF,27-185,1. Liverpool,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Cristian Romero,Argentina,DF,28-061,1. Tottenham,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Emiliano Martínez,Argentina,GK,33-298,1. Aston Villa,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Enzo Fernández,Argentina,MF,25-161,1. Chelsea,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Facundo Medina,Argentina,DF,27-030,1. Marseille,1999,2,2,171,1.9,0,1,1,0,0,0,1,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Argentina,Gonzalo Montiel,Argentina,DF,29-177,1. River Plate,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Julián Álvarez,Argentina,"FW,MF",26-147,1. Atlético Madrid,2000,2,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Lautaro Martínez,Argentina,FW,28-309,1. Inter,1997,2,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Leandro Paredes,Argentina,MF,31-363,1. Boca Juniors,1994,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Lionel Messi,Argentina,FW,39-003,1. Inter Miami,1987,2,2,169,1.9,5,0,5,5,0,1,0,0,2.66,0.0,2.66,2.66,2.66
INT-World Cup,2026,Argentina,Lisandro Martínez,Argentina,DF,28-160,1. Manchester Utd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nahuel Molina,Argentina,DF,28-082,1. Atlético Madrid,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás González,Argentina,"FW,MF",28-082,1. Atlético Madrid,1998,2,0,62,0.7,0,1,1,0,0,0,0,0,0.0,1.45,1.45,0.0,1.45
INT-World Cup,2026,Argentina,Nicolás Otamendi,Argentina,DF,38-135,1. Benfica,1988,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás Paz,Argentina,MF,21-292,1. Como,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Nicolás Tagliafico,Argentina,DF,33-300,1. Lyon,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Argentina,Rodrigo De Paul,Argentina,MF,32-034,1. Inter Miami,1994,2,2,171,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Argentina,Thiago Almada,Argentina,MF,25-062,1. Atlético Madrid,2001,2,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Aiden O'Neill,Australia,MF,27-358,1. NYCFC,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Ajdin Hrustic,Australia,MF,29-357,1. Heracles Almelo,1996,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Alessandro Circati,Australia,DF,22-260,1. Parma,2003,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Aziz Behich,Australia,MF,35-193,1. Melb City,1990,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Cameron Burgess,Australia,DF,30-249,2. Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Connor Metcalfe,Australia,MF,26-234,1. St Pauli,1999,3,2,225,2.5,1,0,1,1,0,0,0,0,0.4,0.0,0.4,0.4,0.4
INT-World Cup,2026,Australia,Cristian Volpato,Australia,MF,22-224,1. Sassuolo,2003,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Harry Souttar,Australia,DF,27-248,2. Leicester City,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Jackson Irvine,Australia,MF,33-112,1. St Pauli,1993,3,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Jacob Italiano,Australia,DF,24-332,1. Grazer AK,2001,2,2,163,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Jason Geria,Australia,DF,33-048,2. Albirex Niigata,1993,2,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Jordy Bos,Australia,"DF,MF",23-241,1. Feyenoord,2002,3,3,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Lucas Herrington,Australia,DF,18-295,1. Colorado Rapids,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Mathew Leckie,Australia,MF,35-143,1. Melb City,1991,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Mo Touré,Australia,FW,22-093,2. Norwich City,2004,2,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Nestory Irankunda,Australia,"MF,FW",20-138,2. Watford,2006,3,2,188,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,0.48,0.48
INT-World Cup,2026,Australia,Nishan Velupillay,Australia,MF,25-051,1. Melb. Victory,2001,2,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Patrick Beach,Australia,GK,22-325,1. Melb City,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Australia,Paul Okon-Engstler,Australia,MF,21-154,1. Sydney FC,2005,3,2,167,1.9,0,1,1,0,0,0,0,0,0.0,0.54,0.54,0.0,0.54
INT-World Cup,2026,Australia,Tete Yengi,Australia,FW,25-211,1. Machida Zelvia,2000,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Alexander Prass,Austria,"DF,MF",25-032,1. Hoffenheim,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Alexander Schlager,Austria,GK,30-146,1. RB Salzburg,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Carney Chukwuemeka,Austria,MF,22-250,1. Dortmund,2003,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,David Alaba,Austria,DF,34-003,1. Real Madrid,1992,2,2,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Kevin Danso,Austria,DF,27-281,1. Tottenham,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Konrad Laimer,Austria,"MF,DF",29-031,1. Bayern Munich,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Marcel Sabitzer,Austria,MF,32-102,1. Dortmund,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Marco Friedl,Austria,DF,28-103,1. Werder Bremen,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Marko Arnautović,Austria,"FW,MF",37-069,1. Red Star,1989,2,0,68,0.8,1,0,1,0,1,1,0,0,1.32,0.0,1.32,0.0,0.0
INT-World Cup,2026,Austria,Michael Gregoritsch,Austria,FW,32-070,1. Augsburg,1994,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Nicolas Seiwald,Austria,MF,25-054,1. RB Leipzig,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Patrick Wimmer,Austria,"FW,MF",25-028,1. Wolfsburg,2001,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Paul Wanner,Austria,MF,20-186,1. PSV,2005,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Philipp Lienhart,Austria,DF,29-351,1. Freiburg,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Phillipp Mwene,Austria,DF,32-149,1. Mainz 05,1994,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Romano Schmid,Austria,MF,26-151,1. Werder Bremen,2000,2,2,159,1.8,1,0,1,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57
INT-World Cup,2026,Austria,Saša Kalajdžić,Austria,FW,28-355,1. LASK,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Stefan Posch,Austria,DF,29-044,1. Mainz 05,1997,2,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Austria,Xaver Schlager,Austria,MF,28-272,1. RB Leipzig,1997,2,2,148,1.6,0,1,1,0,0,0,0,0,0.0,0.61,0.61,0.0,0.61
INT-World Cup,2026,Belgium,Alexis Saelemaekers,Belgium,MF,27-000,1. Milan,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Amadou Onana,Belgium,MF,24-315,1. Aston Villa,2001,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Arthur Theate,Belgium,DF,26-033,1. Frankfurt,2000,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Brandon Mechele,Belgium,DF,33-150,1. Club Brugge,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Charles De Ketelaere,Belgium,FW,25-109,1. Atalanta,2001,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Dodi Lukebakio,Belgium,"FW,MF",28-276,1. Benfica,1997,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Hans Vanaken,Belgium,MF,33-307,1. Club Brugge,1992,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Jeremy Doku,Belgium,MF,24-031,1. Manchester City,2002,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Kevin De Bruyne,Belgium,MF,34-364,1. Napoli,1991,2,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Leandro Trossard,Belgium,MF,31-205,1. Arsenal,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Matias Fernandez-Pardo,Belgium,"FW,MF",21-144,1. Lille,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Maxim De Cuyper,Belgium,DF,25-187,1. Brighton,2000,2,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Nathan Ngoy,Belgium,DF,23-017,1. Lille,2003,2,2,155,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Nicolas Raskin,Belgium,MF,25-124,1. Rangers,2001,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Romelu Lukaku,Belgium,FW,33-045,1. Napoli,1993,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Thibaut Courtois,Belgium,GK,34-047,1. Real Madrid,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Thomas Meunier,Belgium,DF,34-288,1. Lille,1991,2,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Timothy Castagne,Belgium,DF,30-204,1. Fulham,1995,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Belgium,Youri Tielemans,Belgium,MF,29-051,1. Aston Villa,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Amar Dedić,Bosnia & Herz.,DF,23-313,1. Benfica,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Amar Memić,Bosnia & Herz.,MF,25-158,1. Viktoria Plzeň,2001,3,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Amir Hadžiahmetović,Bosnia & Herz.,MF,29-111,2. Hull City,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Arjan Malic,Bosnia & Herz.,DF,20-303,1. Sturm Graz,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Armin Gigovic,Bosnia & Herz.,MF,24-082,1. Young Boys,2002,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Benjamin Tahirovic,Bosnia & Herz.,MF,23-116,1. Brøndby,2003,3,2,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Dennis Hadžikadunić,Bosnia & Herz.,DF,27-353,2. Sampdoria,1998,1,0,27,0.3,0,1,1,0,0,0,0,0,0.0,3.33,3.33,0.0,3.33
INT-World Cup,2026,Bosnia & Herz.,Dženis Burnić,Bosnia & Herz.,MF,28-036,2. Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Edin Džeko,Bosnia & Herz.,FW,40-102,2. Schalke 04,1986,2,2,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Ermedin Demirović,Bosnia & Herz.,FW,28-094,1. Stuttgart,1998,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Ermin Mahmić,Bosnia & Herz.,MF,21-105,1. Slovan Liberec,2005,2,0,28,0.3,2,0,2,2,0,0,1,0,6.43,0.0,6.43,6.43,6.43
INT-World Cup,2026,Bosnia & Herz.,Esmir Bajraktarevic,Bosnia & Herz.,MF,21-109,1. PSV,2005,3,2,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Ivan Bašić,Bosnia & Herz.,MF,24-058,1. FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Bosnia & Herz.,Ivan Šunjić,Bosnia & Herz.,MF,29-261,1. Pafos FC,1996,3,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Jovo Lukić,Bosnia & Herz.,FW,27-211,1. Univ. Cluj,1998,2,1,67,0.7,1,0,1,1,0,0,1,0,1.34,0.0,1.34,1.34,1.34
INT-World Cup,2026,Bosnia & Herz.,Kerim Alajbegović,Bosnia & Herz.,MF,18-279,1. RB Salzburg,2007,3,2,187,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,0.48,0.48
INT-World Cup,2026,Bosnia & Herz.,Nikola Katić,Bosnia & Herz.,DF,29-260,2. Schalke 04,1996,3,3,243,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Nikola Vasilj,Bosnia & Herz.,GK,30-207,1. St Pauli,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Samed Baždar,Bosnia & Herz.,FW,22-147,1. Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Sead Kolašinac,Bosnia & Herz.,DF,33-007,1. Atalanta,1993,3,3,263,2.9,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34
INT-World Cup,2026,Bosnia & Herz.,Stjepan Radeljić,Bosnia & Herz.,DF,28-295,1. Rijeka,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia & Herz.,Tarik Muharemovic,Bosnia & Herz.,DF,23-119,1. Sassuolo,2003,2,2,169,1.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Alex Sandro,Brazil,"DF,MF",35-152,1. Flamengo,1991,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Alisson,Brazil,GK,33-268,1. Liverpool,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Bruno Guimarães,Brazil,MF,28-223,1. Newcastle,1997,3,3,249,2.8,0,3,3,0,0,0,0,0,0.0,1.08,1.08,0.0,1.08
INT-World Cup,2026,Brazil,Casemiro,Brazil,MF,34-124,1. Manchester Utd,1992,3,3,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Danilo,Brazil,DF,34-347,1. Flamengo,1991,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Danilo Santos,Brazil,MF,25-059,1. Botafogo–RJ,2001,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Douglas Santos,Brazil,DF,32-097,1. Zenit,1994,3,3,261,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Endrick,Brazil,FW,19-341,1. Lyon,2006,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Fabinho,Brazil,"DF,MF",32-247,1. Al-Ittihad,1993,2,0,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Gabriel Magalhães,Brazil,DF,28-190,1. Arsenal,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Gabriel Martinelli,Brazil,"FW,MF",25-009,1. Arsenal,2001,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Igor Thiago,Brazil,FW,25-001,1. Brentford,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Lucas Paquetá,Brazil,MF,28-304,1. Flamengo,1997,3,3,188,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48
INT-World Cup,2026,Brazil,Luiz Henrique,Brazil,"FW,MF",25-176,1. Zenit,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Marquinhos,Brazil,DF,32-044,1. PSG,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Matheus Cunha,Brazil,FW,27-031,1. Manchester Utd,1999,3,2,168,1.9,3,0,3,3,0,0,0,0,1.61,0.0,1.61,1.61,1.61
INT-World Cup,2026,Brazil,Neymar,Brazil,"FW,MF",34-142,1. Santos,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Raphinha,Brazil,"MF,FW",29-195,1. Barcelona,1996,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Rayan,Brazil,FW,19-328,1. Bournemouth,2006,2,1,132,1.5,0,1,1,0,0,0,0,0,0.0,0.68,0.68,0.0,0.68
INT-World Cup,2026,Brazil,Roger Ibanez,Brazil,DF,27-216,1. Al-Ahli,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Vinicius Júnior,Brazil,FW,25-350,1. Real Madrid,2000,3,3,260,2.9,4,1,5,4,0,0,0,0,1.38,0.35,1.73,1.38,1.73
INT-World Cup,2026,Brazil,Éderson Silva,Brazil,MF,26-355,1. Atalanta,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Dailon Livramento,Cabo Verde,FW,25-054,1. Casa Pia,2001,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Deroy Duarte,Cabo Verde,MF,26-358,1. Ludogorets,1999,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Diney,Cabo Verde,DF,31-161,1. Al Bataeh,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
