gameId,date,team,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,possessionPct,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
760457,2026-06-22,France,8,0,0,1,4,0,55.6,19,5,0.3,0,0,540,603,0.9,2,14,0.1,30,17,0.6,4,9,14,0.6,5,9,9
760457,2026-06-22,Iraq,4,1,0,0,2,2,44.4,4,0,0.0,0,0,413,481,0.9,4,9,0.4,51,21,0.4,1,8,16,0.5,10,28,28
760454,2026-06-23,Norway,13,0,0,0,5,2,41.7,13,7,0.5,0,0,282,353,0.8,3,10,0.3,51,25,0.5,3,9,10,0.9,8,26,26
760454,2026-06-23,Senegal,5,0,0,4,4,3,58.3,16,4,0.3,0,0,430,489,0.9,8,23,0.3,58,37,0.6,5,7,16,0.4,10,18,18
760455,2026-06-23,Jordan,11,1,0,1,1,6,27.9,8,4,0.5,0,0,181,251,0.7,2,5,0.4,53,23,0.4,0,17,30,0.6,3,36,36
760455,2026-06-23,Algeria,6,1,0,0,10,3,72.1,17,8,0.5,0,0,561,641,0.9,5,21,0.2,44,19,0.4,5,18,25,0.7,11,15,15
760461,2026-06-23,Portugal,14,1,0,2,3,2,65.9,17,9,0.5,0,0,561,624,0.9,5,22,0.2,40,22,0.6,3,10,14,0.7,6,16,16
760461,2026-06-23,Uzbekistan,15,1,0,2,2,4,34.1,7,2,0.3,0,0,262,327,0.8,0,8,0.0,30,9,0.3,3,13,18,0.7,14,30,30
760458,2026-06-23,England,14,1,0,2,9,0,78.9,19,3,0.2,0,0,586,633,0.9,7,30,0.2,26,14,0.5,6,7,14,0.5,1,6,6
760458,2026-06-23,Ghana,24,1,0,2,2,3,21.1,2,1,0.5,0,0,127,172,0.7,0,5,0.0,57,24,0.4,1,17,22,0.8,8,39,39
760460,2026-06-23,Panama,19,1,0,1,7,1,42,8,1,0.1,0,0,277,352,0.8,6,31,0.2,54,25,0.5,2,5,10,0.5,5,29,29
760460,2026-06-23,Croatia,12,1,0,2,2,1,58,6,2,0.3,0,0,432,512,0.8,5,18,0.3,51,19,0.4,1,7,19,0.4,5,38,38
760459,2026-06-24,Colombia,12,2,0,7,5,1,63.5,20,9,0.5,0,0,473,541,0.9,3,12,0.3,66,40,0.6,6,6,10,0.6,10,18,18
760459,2026-06-24,DR Congo,16,1,0,0,4,8,36.5,7,1,0.1,0,0,226,299,0.8,4,14,0.3,48,14,0.3,2,10,15,0.7,7,19,19
760462,2026-06-24,Bosnia and Herzegovina,9,1,0,1,5,2,54.4,14,5,0.4,0,0,452,515,0.9,3,22,0.1,50,30,0.6,5,9,10,0.9,4,22,22
760462,2026-06-24,Qatar,14,1,0,3,5,3,45.6,9,3,0.3,0,0,371,434,0.9,5,17,0.3,52,16,0.3,0,5,13,0.4,4,24,24
760463,2026-06-24,Switzerland,19,1,0,1,2,6,55.3,6,4,0.7,0,0,369,443,0.8,1,6,0.2,45,17,0.4,1,7,16,0.4,4,44,44
760463,2026-06-24,Canada,13,2,0,3,7,2,44.7,13,7,0.5,0,0,271,339,0.8,6,26,0.2,43,20,0.5,3,5,9,0.6,13,19,19
760464,2026-06-24,Morocco,10,0,0,5,9,1,69.1,22,11,0.5,0,0,477,541,0.9,7,22,0.3,34,17,0.5,5,8,20,0.4,8,14,14
760464,2026-06-24,Haiti,18,3,0,0,1,8,30.9,9,2,0.2,0,0,198,247,0.8,2,3,0.7,44,21,0.5,3,12,25,0.5,16,26,26
760465,2026-06-24,Scotland,10,1,0,0,7,5,46,14,5,0.4,0,0,450,500,0.9,9,23,0.4,33,17,0.5,3,8,12,0.7,2,13,13
760465,2026-06-24,Brazil,11,2,0,1,7,5,54,21,9,0.4,0,0,564,605,0.9,2,12,0.2,27,12,0.4,5,6,14,0.4,13,24,24
760467,2026-06-25,Czech Republic,9,0,0,1,5,2,51.9,13,1,0.1,0,0,333,398,0.8,5,26,0.2,53,20,0.4,4,7,12,0.6,5,20,20
760467,2026-06-25,Mexico,13,1,0,0,1,1,48.1,11,5,0.5,0,0,330,386,0.9,1,12,0.1,55,34,0.6,2,8,12,0.7,7,30,30
760466,2026-06-25,South Africa,7,1,0,3,4,2,31.6,13,4,0.3,0,0,277,340,0.8,1,8,0.1,57,19,0.3,4,7,11,0.6,15,40,40
760466,2026-06-25,South Korea,9,1,0,0,6,3,68.4,8,3,0.4,0,0,641,719,0.9,7,34,0.2,52,29,0.6,1,9,12,0.8,4,16,16
